Date,Shift Member Name,Blocked IP Address,Reason for Blocking,Time of Blocking,Approval Status,Remarks/Additional Notes,Abusive Percentage(AbuseIPDB),Status(Blocked / Pending)
YYYY-MM-DD,[Name],[IP Address],"[E.g., Malicious Activity]",HH:MM AM/PM,,[Notes or follow-up actions],,
02-18-2026,Prathamesh Pendkar,119.235.221.209,PT. Mora Telematika Indonesia,8:49:00 PM,Pending,NA,100,Pending
02-18-2026,Prathamesh Pendkar,157.66.54.26,CV Mico Digital Indonesia,8:49:00 PM,Pending,NA,100,Pending
02-18-2026,Prathamesh Pendkar,43.173.178.148,ACEVILLE PTE.LTD.,8:49:00 PM,Pending,NA,59,Pending
02-18-2026,Prathamesh Pendkar,91.227.17.30,LLC Eximius,8:49:00 PM,Pending,NA,51,Pending
02-18-2026,Prathamesh Pendkar,2803:9810:4eb9:dc10:12df:3fe8:19:5879,Starlink Brazil Serviços de Internet Ltd,8:49:00 PM,Pending,NA,37,Pending
02-19-2026,Tanmay Kudale,64.236.176.150,Cloudflare.IP,2:00:00 PM,Pending,NA,0,Pending
02-19-2026,Tanmay Kudale,4.232.90.25,Cloudflare.IP,2:00:00 PM,Pending,NA,100,Pending
02-19-2026,Tanmay Kudale,172.213.16.18,Cloudflare.IP,2:00:00 PM,Pending,NA,100,Pending
02-19-2026,Tanmay Kudale,20.166.38.178 ,Cloudflare.IP,2:00:00 PM,Pending,NA,100,Pending
02-19-2026,Tanmay Kudale,168.63.78.209,Cloudflare.IP,2:00:00 PM,Pending,NA,100,Pending
02-19-2026,Tanmay Kudale,64.236.176.150,Cloudflare.IP,2:00:00 PM,Pending,NA,0,Pending
02-19-2026,Tanmay Kudale,45.63.9.29,Cloudflare.IP,2:00:00 PM,Pending,NA,100,Pending
02-19-2026,Tanmay Kudale,193.233.221.101,Cloudflare.IP,2:00:00 PM,Pending,NA,15,Pending
02-19-2026,Tanmay Kudale,217.145.225.137,Cloudflare.IP,2:00:00 PM,Pending,NA,13,Pending
02-19-2026,Tanmay Kudale,167.253.48.254,Cloudflare.IP,2:00:00 PM,Pending,NA,24,Pending
02-19-2026,Tanmay Kudale,91.132.124.151,Cloudflare.IP,2:00:00 PM,Pending,NA,4,Pending
02-20-2025,Tanmay Kudale,141.98.11.189,Cloudflare.IP,2:00:00 PM,Pending,NA,100,Pending
02-20-2025,Shivangi Soni,139.59.126.225,Cloudflare.IP,2:00:00 PM,Approved,NA,82,Approved
02-20-2025,Shivangi Soni,223.233.84.13,Cloudflare.IP,2:00:00 PM,Approved,NA,0,Approved
02-21-2025,Harsh Navgale,20.188.56.166,Cloudflare.IP,9:17:00 PM,Pending,NA,100,Pending
